idpunto;idce;SPcod;ETAce;DEcod;FEha;Dce;Hce;Vce;Wce
80358;21;280;2;2;18.84445784;11.5;0.1;0.001038689;0.000513409
80358;22;280;2;2;18.84445784;10;0.315;0.002474004;0.001222865
80358;23;424;2;2;18.84445784;16.5;0.14;0.002993545;0.001479667
80358;24;510;2;2;18.84445784;11.5;0.105;0.001090624;0.00053908
80358;25;510;2;4;18.84445784;37;0.115;0.012364916;0.005074949
80358;26;510;2;4;18.84445784;21;0.12;0.004156327;0.001705887
80358;27;510;2;3;18.84445784;21;0.07;0.002424524;0.001090918
80358;28;510;2;4;18.84445784;16.5;0.115;0.002458983;0.001009244
80358;29;510;2;3;18.84445784;21.5;0.155;0.00562728;0.002532003
80358;30;424;2;3;18.84445784;13;0.085;0.001128224;0.000507646
80358;31;424;2;3;18.84445784;19.5;0.14;0.004181067;0.001881277
80358;32;302;2;3;18.84445784;39;0.1;0.011945906;0.005375078
80358;33;302;2;3;18.84445784;48.5;0.14;0.02586434;0.011637698
80358;34;302;2;2;18.84445784;22.5;0.12;0.004771294;0.002358382
80358;35;302;2;2;18.84445784;21.5;0.115;0.004175078;0.002063682
80358;36;510;2;5;18.84445784;50;0.16;0.031415927;0.00963949
80358;37;625;2;5;18.84445784;15.5;0.24;0.004528606;0.001389532
80358;38;302;2;3;18.84445784;59.5;0.11;0.030585564;0.01376202
80358;39;280;2;2;18.84445784;20;0.095;0.002984513;0.001475202
80358;40;280;2;2;18.84445784;18.5;0.065;0.001747216;0.000863624
80358;41;280;2;2;18.84445784;16.5;0.095;0.002031334;0.001004059
80358;42;280;2;2;18.84445784;18.5;0.18;0.004838445;0.002391574
80358;43;424;2;3;18.84445784;20.5;0.135;0.004455858;0.00200492
